PRODUTO,ADIÇÃO,ITEM,CODIGO,CODIGO GIIRO,NCM,QUANTD,PESO LID. UNIT,PESO LIQ TOTAL,FATOR PESO,FOB UNIT USD,FOB TOTAL USD,VLR TOTALFOB R$,SERVICE CHARGES,SERVICE CHARGES R$,FRETE INT.USD,FRETE INT.R$,ACRESC. FRETE USD,ACRESC. FRETE R$,VLR CFR UNIT,VLR CFR TOTAL,SEGURO INT.USD,SEGURO INT.R$,THC USD,THC R$,VLR ADUANEIRO USD,VLR ADUANEIRO R$,II,IPI,PIS,COFINS,ICMS,ICMS REDUZIDO,REDUÇÃO,VLR II,BC IPI,VLR IPI,BC PIS/COFINS,VLR PIS,VLR COFINS,DESP. ADUANEIRA,BC ICMS S/REDUÇÃO,VLR ICMS S/RED.,BC ICMS REDUZIDO,VLR ICMS REDUZ.,VLR UNIT PROD. NF,VLR TOTAL PROD. NF,VLR TOTAL NF S/ICMS ST,BC ICMS-ST,MVA,ICMS-ST,VLR ICMS-ST,VLR TOTAL NF C/ICMS-ST,,FATOR VLR FOB,FATOR TX SISCOMEX,MULTA,TX DEF. LI,TAXA SISCOMEX,OUTRAS TX AGENTE,DELIVERY FEE,DESCONS.,COLLECT FEE,HANDLING,DAI,DAPE,LI+DTA+HONOR.NIX,HONORÁRIOS NIX,DESP. DESEMBARAÇO,DIF. CAMBIAL FRETE,DIF CAMBIAL FOB,CUSTO UNIT FINAL,CUSTO TOTAL FINAL
BUSHING DRIVE - BUCHA DE BORRACHA DO VOLANTE B15304G01 ERA 0772748 DO MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO ,1,1,GO772856,006498, 7318.29.00 ,80,0.012500,1.00,0.01508751,1.4500, 116.000 , 664.00 , -   , -   , 31.84 , 182.28 , -   , -   , 1.8480 , 147.8437 , -   , -   , -   , -   , 147.84 , 846.27 ,16.00%,6.50%,2.10%,9.65%,19.00%,,, 135.40 , 981.68 , 63.81 , 846.27 , 17.77 , 81.67 , 31.15 ," 1,451.94 ", 275.87 ," 1,451.94 ", 275.87 , 12.27 , 981.68 ," 1,451.94 ",,,,," 1,451.94 ",,0.01200475,0.0100384981858223,,, 6.67 , -   , -   , -   , -   , -   , 6.26 , -   , 45.56 , 18.22 , 45.56 , -   , 5.56 , 15.34 ," 1,227.19 "
"SHAFT SEAL, COMPRESSOR X214 - SELO DO EIXO COMPRESSOR XM 1189A39G01 ERA 0220378 MODELO X214 USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",2,2,GO220777,006507, 8414.90.39 ,8,0.125000,1.00,0.01508751,11.6000, 92.800 , 531.20 , -   , -   , 31.84 , 182.28 , -   , -   , 15.5805 , 124.6437 , -   , -   , -   , -   , 124.64 , 713.47 ,12.60%,0.00%,2.10%,10.45%,19.00%,,, 89.90 , 803.37 , -   , 713.47 , 14.98 , 74.56 , 24.92 ," 1,133.13 ", 215.29 ," 1,133.13 ", 215.29 , 100.42 , 803.37 ," 1,133.13 ",,,,," 1,133.13 ",,0.00960380,0.0100384981858223,,, 5.33 , -   , -   , -   , -   , -   , 5.01 , -   , 36.45 , 14.58 , 36.45 , -   , 4.45 , 119.84 , 958.72 
"SEAL, COMPRESSOR X430 - SELO MECÂNICO 1189A38G01 (ERA 22378) DO COMPRESSOR MODELO X430 USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",3,3,GO220778,006505, 8484.20.00 ,8,0.125000,1.00,0.01508751,13.0500, 104.400 , 597.60 , -   , -   , 31.84 , 182.28 , -   , -   , 17.0305 , 136.2437 , -   , -   , -   , -   , 136.24 , 779.87 ,12.60%,6.50%,2.10%,10.45%,19.00%,,, 98.26 , 878.14 , 57.08 , 779.87 , 16.38 , 81.50 , 28.04 ," 1,310.03 ", 248.91 ," 1,310.03 ", 248.91 , 109.77 , 878.14 ," 1,310.03 ",,,,," 1,310.03 ",,0.01080428,0.0100384981858223,,, 6.00 , -   , -   , -   , -   , -   , 5.64 , -   , 41.00 , 16.40 , 41.00 , -   , 5.00 , 138.39 ," 1,107.13 "
"SHAFT SEAL, X430 LARGE SHAFT - SELO DO COMPRESSOR X430 DE EIXO LARGO USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",3,4,GO221101,006504, 8484.20.00 ,8,0.125000,1.00,0.01508751,68.1200, 544.960 ," 3,119.41 ", -   , -   , 31.84 , 182.28 , -   , -   , 72.1005 , 576.8037 , -   , -   , -   , -   , 576.80 ," 3,301.68 ",12.60%,6.50%,2.10%,10.45%,19.00%,,, 416.01 ," 3,717.69 ", 241.65 ," 3,301.68 ", 69.34 , 345.03 , 146.34 ," 5,580.31 "," 1,060.26 "," 5,580.31 "," 1,060.26 ", 464.71 ," 3,717.69 "," 5,580.31 ",,,,," 5,580.31 ",,0.05639750,0.0100384981858223,,, 31.31 , -   , -   , -   , -   , -   , 29.42 , -   , 214.03 , 85.61 , 214.03 , -   , 26.10 , 595.02 ," 4,760.18 "
"KIT, THROTTLING VALVE REPAIR - KIT DE REPARO DA VALVULA ESTRANGULADORA ERA 600107 USADA EM EQUIPAMENTO DE REFRIGERAÇÃO",3,36,GO600298,006497, 8484.20.00 ,9,0.100000,0.90,0.01357876,68.1200, 613.080 ," 3,509.33 ", -   , -   , 28.66 , 164.05 , -   , -   , 71.3044 , 641.7393 , -   , -   , -   , -   , 641.74 ," 3,673.38 ",12.60%,6.50%,2.10%,10.45%,19.00%,,, 462.85 ," 4,136.23 ", 268.85 ," 3,673.38 ", 77.14 , 383.87 , 164.64 ," 6,210.77 "," 1,180.05 "," 6,210.77 "," 1,180.05 ", 459.58 ," 4,136.23 "," 6,210.77 ",,,,," 6,210.77 ",,0.06344719,0.0100384981858223,,, 35.23 , -   , -   , -   , -   , -   , 33.10 , -   , 240.78 , 96.31 , 240.78 , -   , 29.37 , 588.99 ," 5,300.88 "
SHAFT SEAL COMPRESSORS X430P & 426P - SELO DO COMPRESSOR    X430P & 426P USADO EM EQUIPAMENTO DE REFRIGERAÇÃO ,4,5,GO221103,006506, 8484.10.00 ,8,0.125000,1.00,0.01508751,86.9600, 695.680 ," 3,982.14 ", -   , -   , 31.84 , 182.28 , -   , -   , 90.9405 , 727.5237 , -   , -   , -   , -   , 727.52 ," 4,164.42 ",16.00%,7.80%,2.10%,10.45%,19.00%,,, 666.31 ," 4,830.73 ", 376.80 ," 4,164.42 ", 87.45 , 435.18 , 186.82 ," 7,304.91 "," 1,387.93 "," 7,304.91 "," 1,387.93 ", 603.84 ," 4,830.73 "," 7,304.91 ",,,,," 7,304.91 ",,0.07199540,0.0100384981858223,,, 39.97 , -   , -   , -   , -   , -   , 37.55 , -   , 273.22 , 109.29 , 273.22 , -   , 33.32 , 777.94 ," 6,223.52 "
THERMOSTAT - THERMOSTATO DO SISTEMA DE ARREFECIMENTO DO MOTOR DIESEL USADO EM EQUIPAMENTO DE REFRIGERAÇÃO,5,6,GO130954,000355, 9032.10.10 ,6,0.066667,0.40,0.00603500,12.3200, 73.920 , 423.13 , -   , -   , 12.74 , 72.91 , -   , -   , 14.4429 , 86.6575 , -   , -   , -   , -   , 86.66 , 496.04 ,18.00%,9.75%,2.10%,10.45%,19.00%,,, 89.29 , 585.32 , 57.07 , 496.04 , 10.42 , 51.84 , 19.85 , 894.44 , 169.94 , 894.44 , 169.94 , 97.55 , 585.32 , 894.44 ,,,,, 894.44 ,,0.00764992,0.0100384981858223,,, 4.25 , -   , -   , -   , -   , -   , 3.99 , -   , 29.03 , 11.61 , 29.03 , -   , 3.54 , 126.18 , 757.07 
"SENSOR, UNGRADED -KIT SENSOR DE TEMPERATURA NAO GRADUADO ERA 0400872 USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",6,7,GO400975,006049, 9032.89.82 ,25,0.020000,0.50,0.00754375,15.9500, 398.750 ," 2,282.48 ", -   , -   , 15.92 , 91.14 , -   , -   , 16.5869 , 414.6718 , -   , -   , -   , -   , 414.67 ," 2,373.62 ",12.60%,9.75%,2.10%,10.45%,19.00%,,, 299.08 ," 2,672.70 ", 260.59 ," 2,373.62 ", 49.85 , 248.04 , 107.08 ," 4,121.31 ", 783.05 ," 4,121.31 ", 783.05 , 106.91 ," 2,672.70 "," 4,121.31 ",,,,," 4,121.31 ",,0.04126634,0.0100384981858223,,, 22.91 , -   , -   , -   , -   , -   , 21.53 , -   , 156.61 , 62.64 , 156.61 , -   , 19.10 , 140.56 ," 3,513.96 "
"SENSOR, GRADED - KIT SENSOR TEMPERATURA GRADUADO ERA 0400871  USADO EM EQUIPAMENTO DE REFRIGERAÇÃO",6,8,GO400974,006048, 9032.89.82 ,45,0.028889,1.30,0.01961376,15.9500, 717.750 ," 4,108.47 ", -   , -   , 41.40 , 236.96 , -   , -   , 16.8699 , 759.1468 , -   , -   , -   , -   , 759.15 ," 4,345.43 ",12.60%,9.75%,2.10%,10.45%,19.00%,,, 547.52 ," 4,892.96 ", 477.06 ," 4,345.43 ", 91.25 , 454.10 , 192.75 ," 7,540.89 "," 1,432.77 "," 7,540.89 "," 1,432.77 ", 108.73 ," 4,892.96 "," 7,540.89 ",,,,," 7,540.89 ",,0.07427940,0.0100384981858223,,, 41.24 , -   , -   , -   , -   , -   , 38.75 , -   , 281.89 , 112.76 , 281.89 , -   , 34.38 , 142.76 ," 6,424.39 "
WATER TEMPERATURE SENSOR - SENSOR TEMPERATURA 1E27507G01 DO SISTEMA DE ARREFECIMENTO DE MOTOR A DIESEL DE EQUIPAMENTO DE REFRIGERAÇÃO,6,11,GO416538,006051, 9032.89.82 ,20,0.080000,1.60,0.02414001,11.6000, 232.000 ," 1,327.99 ", -   , -   , 50.95 , 291.64 , -   , -   , 14.1475 , 282.9499 , -   , -   , -   , -   , 282.95 ," 1,619.63 ",12.60%,9.75%,2.10%,10.45%,19.00%,,, 204.07 ," 1,823.71 ", 177.81 ," 1,619.63 ", 34.01 , 169.25 , 62.30 ," 2,798.87 ", 531.79 ," 2,798.87 ", 531.79 , 91.19 ," 1,823.71 "," 2,798.87 ",,,,," 2,798.87 ",,0.02400950,0.0100384981858223,,, 13.33 , -   , -   , -   , -   , -   , 12.52 , -   , 91.12 , 36.45 , 91.12 , -   , 11.11 , 118.47 ," 2,369.31 "
